year,manure_applied,manure_N_applied,manure_P_applied,fert_applied,fert_N_applied,fert_P_applied,fert_K_applied
,kg,kg,kg,kg,kg,kg,kg
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,400.0,20.0,24.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,800.0,40.0,48.0,100.0,6.0,24.0,24.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,400.0,20.0,24.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,400.0,20.0,24.0,100.0,0.0,0.0,60.0
1997,400.0,20.0,24.0,100.0,6.0,24.0,24.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,400.0,20.0,24.0,0.0,0.0,0.0,0.0
2001,400.0,20.0,24.0,100.0,5.0,10.0,30.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,220.0,103.4,14.000000000000002,42.0
2004,800.0,40.0,48.0,0.0,0.0,0.0,0.0
2005,180000.0,9000.0,10800.0,100.0,5.0,14.000000000000002,42.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,100.0,0.0,0.0,60.0
2008,320000.0,16000.0,19200.0,600.0,0.0,0.0,360.0
2009,640000.0,32000.0,38400.0,100.0,5.0,14.000000000000002,42.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,100.0,0.0,0.0,60.0
2012,160.0,8.0,9.6,281.25,0.0,0.0,168.75
2013,240000.0,12000.0,14400.0,100.0,5.0,14.000000000000002,42.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,300.0,0.0,0.0,180.0
2016,142100.0,7105.0,8526.0,560.0,0.0,0.0,336.0
2017,280000.0,14000.0,16800.0,100.0,5.0,14.000000000000002,42.0
2018,0.0,0.0,0.0,45.0,0.0,0.0,27.0
2019,0.0,0.0,0.0,600.0,0.0,0.0,360.0
