year,manure_P_applied,P_uptake,fert_P_leached,M_leach,DRP_drainage,M_DRP_runoff,fert_P_runoff,DRP_runoff,MIP_runoff,MOP_runoff
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1980,0.0,0.0,0.0,0.0,0.027959114968420594,0.012137025209001031,0.0,0.001438421479749485,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.014182256334025346,0.014813447629731968,0.0,0.0016609914494196503,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.014218414508562021,0.026894893469950422,0.0,0.0036329147183176,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.021621982567165864,0.042939079489721435,0.0,0.00514404784329749,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.011810342297746237,0.0187550897967412,0.0,0.002688715340687503,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.008003416972674034,0.029437965805229997,0.0,0.005435729727621921,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.014142318453984615,0.014702791222019552,0.0,0.003143512347668616,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.008573862428016249,0.02001770844255489,0.0,0.0021551567507982683,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.011145993058282878,0.02266154358427583,0.0,0.0015969803731493881,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.010885834653804927,0.01198815499899222,0.0,0.0005926661147589371,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.008588200189325837,0.015961593437604282,0.0,0.0011962071393853578,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.008429490972636986,0.013291585329411954,0.0,0.0007369158545597577,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.004496233438291323,0.01726218011734385,0.0,0.005250237118465159,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.013253015893361796,0.026533171418530767,0.0,0.0027543735504104512,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.010025556979070363,0.02649404505965471,0.0,0.004305024275678113,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.029122834537305645,0.027765779007802072,0.0,0.001967394394689353,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.02030622379639983,0.031638377327448314,0.0,0.008559742728587618,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.010120318858171188,0.021051074665747044,0.0,0.0022484102362675656,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.02058952426080238,0.015766138871733087,0.0,0.0028594890892951427,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.015057139781845356,0.019668069373918306,0.0,0.0021024135743539733,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.01030082075559751,0.020952797689662368,0.0,0.0022594969882751993,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.005727458596590802,0.022240636477244512,0.0,0.004511601505288729,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0027218321983393324,0.01699388527811476,0.0,0.0018964880949238812,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.010978297402024247,0.013063480803418823,0.0,0.0008110250020186753,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.007589187607063075,0.0221825873919376,0.0,0.005179701990498676,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.021355869787977648,0.03385944676840451,0.0,0.005329360032528872,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.028249832089994636,0.02207096127827854,0.0,0.0025609954963028377,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.00614613610169179,0.01426321187883743,0.0,0.0011880837461863793,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.007100684446459488,0.02332007027928957,0.0,0.003801760000098129,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.014742266490869587,0.027172481070898473,0.0,0.0032278724840408366,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.015812226767348947,0.02582442918877193,0.0,0.004933980403999831,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.011147141148264688,0.015473007628256957,0.0,0.0023295809876763304,0.0,0.0
2012,639.3599999999999,1.211837095851673,0.0,0.0,0.012837455061903999,0.1905605671651626,0.0,0.01671346691932272,0.0,0.0
2013,790.5599999999998,1.5982119105942854,0.0,0.0,0.06419247135553308,0.5875722864976652,0.0,15.492969055770327,0.0,0.0
2014,518.4,5.159148944129728,0.0,0.0,0.12795915368573085,3.5198210467798656,0.0,45.33510043432729,0.0,0.0
2015,648.0,8.272167604233127,0.0,0.0,0.06358008914230273,2.8784223344808986,0.0,34.03083582436359,0.0,0.0
2016,1041.12,24.67064388783455,0.0,0.0,0.14257613592856302,5.833994560966085,0.0,93.19612481788668,0.0,0.0
2017,0.0,15.613775068358995,0.0,0.0,0.008130317377314848,2.128120004086093,0.0,0.3584891035003338,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.010300849245377988,1.2900124743491408,0.0,0.4472833076445976,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.014929882627710106,1.817301181821944,0.0,0.2974615473218677,0.0,0.0
