year,manure_applied,ET_max,ET
,kg,mm H20,mm H20
1980,0.0,673.1857055734042,190.88218184110934
1981,0.0,709.0608817540581,161.6684178523823
1982,0.0,643.1060611230389,194.56995872892784
1983,0.0,650.3523702104563,234.3590131104703
1984,0.0,638.4952772612003,203.54563790807723
1985,0.0,688.7380194591306,131.88610953798067
1986,0.0,690.9372639109733,199.62193355949682
1987,0.0,729.6306078543761,149.12588490683603
1988,0.0,738.1054710150603,165.60742327618877
1989,0.0,687.9039086673596,166.15498932976047
1990,0.0,706.9288577660747,171.41839553809754
1991,0.0,685.5931516083027,185.05285399295622
1992,0.0,738.9682990408868,129.54121490425194
1993,0.0,621.360929347823,197.85303807569278
1994,0.0,720.9723617490959,155.1866177791279
1995,0.0,643.5002008074528,231.09061314873622
1996,0.0,689.0225107950786,182.7606584745056
1997,0.0,664.1525661719797,196.32428962588654
1998,0.0,648.5155303663752,223.90137499056877
1999,0.0,683.8964283227983,161.17543818908808
2000,0.0,708.98268554772,127.72415031735493
2001,0.0,716.4048751097646,130.8666920142606
2002,0.0,684.6501366497263,112.44853021430808
2003,0.0,720.9392310904866,159.4975951739518
2004,0.0,681.7567345089129,180.68518342376623
2005,0.0,660.6248158276717,186.9972316681656
2006,0.0,693.0773819406364,203.0839373676946
2007,0.0,742.561849407055,155.4059201002089
2008,0.0,697.3636552179287,162.82112170765387
2009,0.0,657.3060761952291,219.67299213315135
2010,0.0,655.5377341911807,208.26668577657645
2011,0.0,656.6759996687315,200.17632487889318
2012,15392.0,729.0318655720653,160.1470734465001
2013,19032.0,716.7374582494975,392.2646261039907
2014,12480.0,685.6806760199752,465.6966458041709
2015,15600.0,703.8998598915157,336.0485858488621
2016,25063.999999999996,687.6062222338026,488.18399247098364
2017,0.0,703.4319532901677,158.44680339208358
2018,0.0,706.7389441120511,189.14041146314764
2019,0.0,661.3794898850814,187.75375765063467
